H;X1;X2;X3;X4;X5;X6;X7;X8;q;sds;v2;x1;s1;gama;c;fi;hw;fss
6;3,6;1,62;0,3;0,3;0,9;0,36;0,9;1,8;10;1,0;1,68;1,26;0,0;20;0;40;6,0;1,331773196
6;4,2;0,84;0,6;0,4;0,84;0,13;0,63;0,63;0;1,6;2,76;0,97;30,0;20;0;36;10,2;0,953152042
7;5,25;2,36;0,5;0,5;0,42;0,21;1,31;3,67;15;1,0;2,39;0,63;0,0;19;20;30;12,25;1,50685279
4;2,6;0,39;0,5;0,35;0,24;0,22;0,52;0,39;15;1,0;1,71;0,46;26,67;20;0;40;6,6;1,272009812
9;7,65;1,91;0,3;0,3;1,08;1,3;1,53;1,91;15;1,8;5,44;2,38;0,0;20;0;40;9,0;1,076148667
9;5,4;1,62;0,5;0,35;0,63;0,6;0,27;1,89;15;1,6;3,28;1,23;60,0;20;0;36;4,5;0,733511119
8;4,4;1,76;0,45;0,3;1,12;1,29;0,44;2,2;0;0,6;2,19;2,41;53,33;20;0;36;10,2;1,45051167
6;7,8;2,34;0,4;0,35;0,36;0,14;1,17;2,34;5;0,9;5,06;0,5;120,0;19;20;30;3,0;1,471533496
8;6,0;1,2;0,55;0,35;0,72;0,65;0,6;3,0;0;1,6;4,25;1,37;40,0;18;30;26;4,0;1,108591968
5;9,75;2,92;0,4;0,35;0,65;0,71;2,92;4,39;10;1,5;6,43;1,36;100,0;18;30;26;9,875;1,661623533
8;8,8;1,76;0,35;0,3;1,44;1,01;0,88;4,4;20;1,3;6,69;2,45;160,0;18;30;26;16,8;1,474710429
7;9,45;3,31;0,6;0,55;0,42;0,08;0,94;2,83;5;0,9;5,54;0,5;140,0;18;30;26;7,0;1,737852121
10;7,0;1,75;0,55;0,3;0,7;0,31;1,4;3,85;20;0,7;4,7;1,01;40,0;20;0;40;5,0;1,043119477
5;7,0;1,75;0,55;0,55;0,4;0,46;2,1;0,35;0;0,8;4,7;0,86;0,0;20;0;36;12,0;1,464778062
8;4,0;0,8;0,5;0,45;1,2;1,14;0,8;0,2;5;0,7;2,7;2,34;160,0;20;0;36;10,0;1,432457265
5;4,75;0,71;0,5;0,35;0,6;0,39;1,43;2,85;0;1,4;3,54;0,99;33,33;17;40;20;5,0;1,85808766
4;3,0;0,75;0,4;0,4;0,52;0,6;0,6;1,5;5;1,8;1,85;1,12;0,0;18;30;26;7,0;1,824086294
8;10,0;2,5;0,45;0,4;0,72;0,68;0,5;6,5;15;0,9;7,05;1,4;160,0;20;0;36;18,0;1,325179976
8;3,2;0,48;0,4;0,35;0,8;0,28;0,32;0,8;15;0,8;2,32;1,08;160,0;19;20;30;9,6;1,557060686
5;5,75;1,15;0,5;0,5;0,35;0,12;0,86;2,59;0;0,9;4,1;0,47;0,0;20;0;40;10,75;1,605468707
5;8,25;1,24;0,35;0,35;0,3;0,03;2,48;1,65;10;1,5;6,66;0,33;0,0;20;0;40;13,25;1,284326573
6;8,1;2,83;0,4;0,3;0,96;0,72;0,41;4,86;15;1,0;4,87;1,68;60,0;20;0;36;10,05;1,32498923
5;5,75;1,15;0,4;0,3;0,55;0,61;0,58;2,59;15;0,9;4,2;1,16;50,0;18;30;26;5,0;2,04573479
9;4,5;0,67;0,35;0,3;0,54;0,59;0,23;0,23;5;1,6;3,48;1,13;180,0;18;30;26;4,5;1,089414984
5;3,0;0,9;0,6;0,35;0,9;0,45;0,9;1,05;15;1,8;1,5;1,35;20,0;20;0;40;2,5;0,910918881
6;5,4;1,35;0,35;0,35;0,72;0,07;0,27;1,08;0;0,6;3,7;0,79;0,0;17;40;20;3,0;2,235384346
8;4,0;1,2;0,35;0,3;1,2;0,48;0,8;2,6;0;1,2;2,45;1,68;160,0;17;40;20;0,0;1,087556305
8;7,6;3,04;0,45;0,3;1,28;1,28;1,14;2,66;20;1,1;4,11;2,56;53,33;19;20;30;0,0;0,934067779
10;10,0;4,0;0,6;0,4;0,6;0,27;2,0;4,5;15;1,1;5,4;0,87;50,0;17;40;20;5,0;1,215413758
7;3,15;1,1;0,4;0,3;1,19;1,25;0,47;0,79;5;1,4;1,65;2,44;70,0;19;20;30;3,5;1,200596055
4;5,4;2,43;0,35;0,3;0,64;0,64;0,54;0,81;20;1,6;2,62;1,28;80,0;20;0;40;9,4;1,221315301
7;5,25;1,31;0,4;0,4;0,56;0,42;0,79;0,26;10;0,7;3,54;0,98;0,0;18;30;26;3,5;1,614359041
9;6,3;2,21;0,3;0,3;0,81;0,85;0,32;1,57;5;1,2;3,79;1,66;0,0;20;0;40;0,0;0,6531573
10;3,0;1,2;0,35;0,35;1,1;1,05;0,75;0,0;20;1,1;1,45;2,15;0,0;19;20;30;13,0;1,407588191
5;7,5;2,25;0,6;0,45;0,6;0,36;0,75;1,88;15;0,9;4,65;0,96;33,33;20;0;36;0,0;0,847595838
6;8,7;3,91;0,35;0,35;0,96;1,01;1,74;1,3;0;1,6;4,44;1,97;0,0;20;0;36;6,0;0,979584846
10;6,0;2,4;0,45;0,35;0,9;0,0;0,0;0,0;10;1,2;3,15;0,9;100,0;18;30;26;5,0;1,167228814
9;8,1;2,02;0,35;0,35;1,35;0,34;2,03;0,81;15;0,9;5,73;1,69;0,0;18;30;26;0,0;0,970677809
9;9,0;4,05;0,4;0,4;1,35;0,34;1,35;6,3;0;1,7;4,55;1,69;0,0;19;20;30;4,5;0,960600059
6;6,6;1,32;0,55;0,55;1,08;0,81;0,33;0,99;15;1,7;4,73;1,89;0,0;19;20;30;6,0;1,313084045
9;9,9;2,97;0,3;0,3;0,63;0,6;0,5;2,97;5;1,6;6,63;1,23;0,0;20;0;40;13,95;1,034747232
4;3,4;1,02;0,45;0,4;0,56;0,42;0,34;2,38;20;0,9;1,93;0,98;80,0;20;0;40;5,7;1,436618486
4;4,4;0,66;0,5;0,4;0,4;0,04;0,88;0,22;5;1,3;3,24;0,44;40,0;20;0;40;2,0;0,985672994
7;9,8;3,43;0,5;0,35;0,98;0,15;2,45;5,39;20;1,1;5,87;1,13;46,67;18;30;26;7,0;1,600129568
4;5,0;2,25;0,6;0,35;0,32;0,0;0,0;0,0;5;0,8;2,15;0,32;16,0;17;40;20;6,5;3,061547887
4;7,6;3,42;0,3;0,3;0,4;0,48;1,9;3,04;5;1,4;3,88;0,88;0,0;20;0;40;0,0;0,685882675
4;6,0;2,1;0,35;0,3;0,52;0,26;0,3;2,7;5;1,1;3,55;0,78;80,0;20;0;40;4,0;1,456195089
9;9,9;2,48;0,55;0,3;0,54;0,03;1,98;6,44;10;1,8;6,87;0,57;36,0;20;0;36;18,9;0,851741628
9;6,75;1,01;0,5;0,4;0,54;0,49;1,69;0,34;20;1,4;5,24;1,03;90,0;20;0;40;12,375;1,200732223
10;7,5;1,12;0,35;0,3;1,8;0,72;1,5;1,88;5;0,8;6,03;2,52;200,0;17;40;20;5,0;1,457631961
4;1,6;0,4;0,35;0,3;0,32;0,13;0,08;1,04;15;0,9;0,85;0,45;80,0;20;0;36;4,8;1,083445335
5;9,0;1,8;0,5;0,4;0,35;0,03;2,25;5,85;5;1,3;6,7;0,38;50,0;17;40;20;2,5;1,66832129
10;6,5;0,97;0,3;0,3;1,7;1,95;1,62;3,9;15;1,7;5,23;3,65;0,0;19;20;30;13,25;1,13308919
4;3,6;1,62;0,45;0,45;0,28;0,18;0,9;2,34;15;0,7;1,53;0,46;0,0;20;0;36;7,6;1,238066515
7;9,1;1,82;0,55;0,5;0,84;0,34;2,73;0,46;15;1,0;6,73;1,18;140,0;18;30;26;11,55;1,7257065
7;4,2;1,26;0,4;0,3;0,77;0,19;0,84;2,31;10;1,2;2,54;0,96;70,0;19;20;30;11,2;1,497285534
10;8,0;1,2;0,35;0,35;1,6;1,44;0,4;2,8;15;0,6;6,45;3,04;0,0;20;0;40;5,0;1,323327996
10;8,0;1,2;0,45;0,3;1,1;1,27;0,8;4,4;15;1,5;6,35;2,37;66,67;18;30;26;18,0;1,271132941
8;4,4;1,32;0,35;0,35;0,72;0,83;1,1;2,2;10;1,8;2,73;1,55;0,0;19;20;30;4,0;0,970198379
5;9,25;4,16;0,4;0,3;0,4;0,4;0,93;6,47;0;1,1;4,69;0,8;50,0;20;0;40;2,5;1,037939401
8;4,0;1,0;0,45;0,3;0,56;0,48;1,0;2,6;20;1,7;2,55;1,04;53,33;17;40;20;0,0;0,914280259
5;9,25;3,7;0,6;0,55;0,85;0,85;2,77;5,55;5;0,7;4,95;1,7;100,0;18;30;26;9,625;2,368760704
10;9,5;2,38;0,5;0,5;1,0;0,8;0,48;5,7;5;1,7;6,62;1,8;0,0;19;20;30;5,0;0,901067776
10;9,0;2,25;0,55;0,55;1,0;1,0;2,7;4,05;0;0,6;6,2;2,0;0,0;17;40;20;10,0;1,646177773
4;3,4;1,53;0,45;0,45;0,44;0,51;0,34;2,38;5;1,8;1,42;0,95;0,0;20;0;36;2,0;0,677634679
5;5,5;1,92;0,55;0,45;0,75;0,6;0,55;2,75;5;0,7;3,03;1,35;50,0;20;0;40;2,5;1,393100622
6;7,8;2,73;0,45;0,35;0,72;0,29;0,39;5,07;15;0,9;4,62;1,01;60,0;18;30;26;13,8;1,905039109
